CRISPRa-,,,CRISPRa+,,,CRISPRi-,,,CRISPRi+,
,,,,,,BDKRB1,1H8,,FFAR4,2F7
,,,,,,BDKRB1,1H7,,FFAR4,2G1
,,,,,,CXCR1,3E1,,FFAR4,2G7
,,,,,,CXCR1,3E5,,FFAR4,2H7
,,,,,,CXCR4,1F8,,FFAR4,3A1
,,,,,,CXCR4,1F7,,FFAR4,3A7
,,,,,,FSHR,3B6,,FFAR4,3B1
,,,,,,FZD1,1D5,,FFAR4,3B7
,,,,,,FZD1,1D11,,FFAR4,1A8
,,,,,,FZD1,1H5,,FFAR4,1B2
,,,,,,FZD1,2C5,,FFAR4,1B8
,,,,,,FZD1,1E5,,FFAR4,1C2
,,,,,,FZD1,1G5,,FFAR4,1C8
,,,,,,FZD1,1G11,,FFAR4,1D8
,,,,,,FZD1,2B5,,FFAR4,1E2
,,,,,,FZD1,2B11,,FFAR4,1E8
,,,,,,FZD1,1E11,,FFAR4,1F2
,,,,,,FZD1,1H11,,FFAR4,1F8
,,,,,,FZD1,2C11,,FFAR4,2E8
,,,,,,GLP2R,6H6,,FFAR4,2F2
,,,,,,GPBAR1,2F9,,FFAR4,2F8
,,,,,,GPBAR1,1E9,,FFAR4,2G2
,,,,,,GPBAR1,1B9,,FFAR4,2G8
,,,,,,GPBAR1,1H9,,FFAR4,2H8
,,,,,,GPBAR1,2F11,,FFAR4,3A2
,,,,,,GPBAR1,1E12,,FFAR4,3A8
,,,,,,GPBAR1,1E11,,FFAR4,3B2
,,,,,,GPBAR1,1H11,,FFAR4,3B8
,,,,,,GPBAR1,1B12,,FFAR4,1A11
,,,,,,GPBAR1,1H12,,FFAR4,1B5
,,,,,,GPBAR1,2F12,,FFAR4,1B11
,,,,,,GPBAR1,1E8,,FFAR4,1C5
,,,,,,GPBAR1,1B11,,FFAR4,1C11
,,,,,,GPBAR1,1B8,,FFAR4,1D11
,,,,,,GPBAR1,2F8,,FFAR4,1E5
,,,,,,GPR132,1B1,,FFAR4,1E11
,,,,,,GPR132,1D1,,FFAR4,1F5
,,,,,,GPR132,1D7,,FFAR4,1F11
,,,,,,GPR132,1E1,,FFAR4,2E11
,,,,,,GPR132,1H1,,FFAR4,2F5
,,,,,,GPR132,2C1,,FFAR4,2F11
,,,,,,GPR132,2F1,,FFAR4,2G5
,,,,,,GPR132,2H1,,FFAR4,2G11
,,,,,,GPR132,2H7,,FFAR4,2H11
,,,,,,GPR132,3A1,,FFAR4,3A5
,,,,,,GPR132,1B2,,FFAR4,3A11
,,,,,,GPR132,1D2,,FFAR4,3B5
,,,,,,GPR132,1D8,,FFAR4,3B11
,,,,,,GPR132,1E2,,FFAR4,1A12
,,,,,,GPR132,1E8,,FFAR4,1B6
,,,,,,GPR132,1F2,,FFAR4,1B12
,,,,,,GPR132,1H2,,FFAR4,1D12
,,,,,,GPR132,2C2,,FFAR4,1E6
,,,,,,GPR132,2F2,,FFAR4,1E12
,,,,,,GPR132,2H2,,FFAR4,1F6
