CRISPRa-,,,CRISPRa+,,,CRISPRi-,,,CRISPRi+,
,,,,,,,,,OR2L5,3A9
,,,,,,,,,OR2L5,1C4
,,,,,,,,,OR2L5,1E4
,,,,,,,,,OR2L5,1F4
,,,,,,,,,OR2L5,1F10
,,,,,,,,,OR2L5,1H4
,,,,,,,,,OR2L5,1H10
,,,,,,,,,OR2L5,2A4
,,,,,,,,,OR2L5,2F4
,,,,,,,,,OR2L5,1A11
,,,,,,,,,OR2L5,1B5
,,,,,,,,,OR2L5,1C11
,,,,,,,,,OR2L5,1D11
,,,,,,,,,OR2L5,1E11
,,,,,,,,,OR2L5,1F5
,,,,,,,,,OR2L5,2A5
,,,,,,,,,OR2L5,2C5
,,,,,,,,,OR2L5,2D11
,,,,,,,,,OR2L5,3A5
,,,,,,,,,OR2L5,3A11
,,,,,,,,,OR2L5,3B11
,,,,,,,,,OR2L5,1A12
,,,,,,,,,OR2L5,1B6
,,,,,,,,,OR2L5,1G12
,,,,,,,,,OR2L5,1H6
,,,,,,,,,OR2L5,1H12
,,,,,,,,,OR2L5,2A12
,,,,,,,,,OR2L5,2C6
,,,,,,,,,OR2L5,2C12
,,,,,,,,,OR2L5,2D6
,,,,,,,,,OR2L5,2D12
,,,,,,,,,OR2L5,2E12
,,,,,,,,,OR2L5,2F6
,,,,,,,,,OR2L5,2G6
,,,,,,,,,OR2L5,2H12
,,,,,,,,,OR2L5,3B6
,,,,,,,,,OR2L5,2D1
,,,,,,,,,OR2L5,2D7
,,,,,,,,,OR2L5,2F1
,,,,,,,,,OR2L5,2F7
,,,,,,,,,OR2L5,2H7
,,,,,,,,,OR2L5,3A1
,,,,,,,,,OR2L5,1C8
,,,,,,,,,OR2L5,1E2
,,,,,,,,,OR2L5,1E8
,,,,,,,,,OR2L5,1F2
,,,,,,,,,OR2L5,1F8
,,,,,,,,,OR2L5,3B9
,,,,,,,,,OR2L5,1C10
,,,,,,,,,OR2L5,1D10
,,,,,,,,,OR2L5,1G10
,,,,,,,,,OR2L5,2A10
,,,,,,,,,OR2L5,2E10
,,,,,,,,,OR2L5,1C5
,,,,,,,,,OR2L5,1E5
,,,,,,,,,OR2L5,1F11
,,,,,,,,,OR2L5,1C6
,,,,,,,,,OR2L5,1C12
,,,,,,,,,OR2L5,1D12
,,,,,,,,,OR2L5,1E12
,,,,,,,,,OR2L5,1F6
,,,,,,,,,OR2L5,2A6
,,,,,,,,,OR2L5,2F12
,,,,,,,,,OR2L5,3A6
,,,,,,,,,OR2L5,1D7
,,,,,,,,,OR2L5,1E1
,,,,,,,,,OR2L5,1F1
,,,,,,,,,OR2L5,1G7
,,,,,,,,,OR2L5,2E7
,,,,,,,,,OR2L5,2G7
,,,,,,,,,OR2L5,3A7
,,,,,,,,,OR2L5,1E6
,,,,,,,,,OR2L5,1F12
,,,,,,,,,OR2L5,2G12
,,,,,,,,,OR2L5,3A12
,,,,,,,,,OR2L5,1C7
,,,,,,,,,OR2L5,1E7
,,,,,,,,,OR2L5,1F7
,,,,,,,,,OR2L5,1H7
,,,,,,,,,OR2L5,2A1
,,,,,,,,,OR2L5,2A7
,,,,,,,,,OR2L5,3B12
,,,,,,,,,OR2L5,1C1
,,,,,,,,,OR2L5,3B7
,,,,,,,,,OR2W1,1D3
,,,,,,,,,OR2W1,1G3
,,,,,,,,,OR2W1,2E3
,,,,,,,,,OR2W1,1A5
,,,,,,,,,OR2W1,1G5
,,,,,,,,,OR2W1,2A11
,,,,,,,,,OR2W1,2E5
,,,,,,,,,OR2W1,1D6
,,,,,,,,,OR2W1,1G6
,,,,,,,,,OR2W1,1A3
,,,,,,,,,OR2W1,1C9
,,,,,,,,,OR2W1,1F9
,,,,,,,,,OR2W1,2A9
,,,,,,,,,OR2W1,2G3
,,,,,,,,,OR2W1,2G9
,,,,,,,,,OR2W1,1C11
,,,,,,,,,OR2W1,2G5
,,,,,,,,,OR2W1,2G11
,,,,,,,,,OR2W1,1A6
,,,,,,,,,OR2W1,1D5
,,,,,,,,,OR2W1,2A5
,,,,,,,,,OR2W1,1F6
,,,,,,,,,OR2W1,2A12
,,,,,,,,,OR2W1,2E6
,,,,,,,,,OR2W1,2A3
,,,,,,,,,OR2W1,1F5
,,,,,,,,,OR2W1,1F11
,,,,,,,,,OR2W1,1C12
,,,,,,,,,OR2W1,1F12
,,,,,,,,,OR2W1,2A6
,,,,,,,,,OR2W1,2G6
,,,,,,,,,OR2W1,1C3
,,,,,,,,,OR2W1,1F3
,,,,,,,,,OR2W1,1C5
,,,,,,,,,OR2W1,1C6
,,,,,,,,,OR2W1,2G12
,,,,,,,,,OR2W3,1C4
,,,,,,,,,OR2W3,2A4
,,,,,,,,,OR3A3,7F3
,,,,,,,,,OR3A3,7F9
,,,,,,,,,OR4A47,1B9
,,,,,,,,,OR4A47,1G3
,,,,,,,,,OR4A47,2E2
,,,,,,,,,OR4A47,1A3
,,,,,,,,,OR4A47,1A9
,,,,,,,,,OR4A47,1B3
,,,,,,,,,OR4A47,1D3
,,,,,,,,,OR4A47,1H9
,,,,,,,,,OR4A47,2B3
,,,,,,,,,OR4A47,2C9
,,,,,,,,,OR4A47,2D3
,,,,,,,,,OR4A47,2E3
,,,,,,,,,OR4A47,2E9
,,,,,,,,,OR4A47,2F3
,,,,,,,,,OR4A47,2G3
,,,,,,,,,OR4A47,3B3
,,,,,,,,,OR4A47,2B4
,,,,,,,,,OR4A47,2C10
,,,,,,,,,OR4A47,2H4
,,,,,,,,,OR4A47,1H11
,,,,,,,,,OR4A47,2E5
,,,,,,,,,OR4A47,1A2
,,,,,,,,,OR4A47,1D2
,,,,,,,,,OR4A47,1G8
,,,,,,,,,OR4A47,1H2
,,,,,,,,,OR4A47,2B8
,,,,,,,,,OR4A47,2F8
,,,,,,,,,OR4A47,2G2
,,,,,,,,,OR4A47,2G8
,,,,,,,,,OR4A47,2H2
,,,,,,,,,OR4A47,2H8
,,,,,,,,,OR4A47,3B2
,,,,,,,,,OR4A47,1C3
,,,,,,,,,OR4A47,1C9
,,,,,,,,,OR4A47,1D9
,,,,,,,,,OR4A47,1G9
,,,,,,,,,OR4A47,1H3
,,,,,,,,,OR4A47,2A3
,,,,,,,,,OR4A47,2A9
,,,,,,,,,OR4A47,2B9
,,,,,,,,,OR4A47,2C3
,,,,,,,,,OR4A47,2F9
,,,,,,,,,OR4A47,2G9
,,,,,,,,,OR4A47,2H3
,,,,,,,,,OR4A47,2H9
,,,,,,,,,OR4A47,3A3
,,,,,,,,,OR4A47,1A10
,,,,,,,,,OR4A47,1B4
,,,,,,,,,OR4A47,1B10
,,,,,,,,,OR4A47,1E10
,,,,,,,,,OR4A47,2B10
,,,,,,,,,OR4A47,2C4
,,,,,,,,,OR4A47,2D4
,,,,,,,,,OR4A47,2D10
,,,,,,,,,OR4A47,2E4
,,,,,,,,,OR4A47,2F10
,,,,,,,,,OR4A47,2G4
,,,,,,,,,OR4A47,2G10
,,,,,,,,,OR4A47,2H10
,,,,,,,,,OR4A47,3A4
,,,,,,,,,OR4A47,3A10
,,,,,,,,,OR4A47,3B4
,,,,,,,,,OR4A47,3B10
,,,,,,,,,OR4A47,1A5
,,,,,,,,,OR4A47,1B11
,,,,,,,,,OR4A47,1G5
,,,,,,,,,OR4A47,1G11
,,,,,,,,,OR4A47,1H5
,,,,,,,,,OR4A47,2A11
,,,,,,,,,OR4A47,2B5
,,,,,,,,,OR4A47,2B11
,,,,,,,,,OR4A47,2C11
,,,,,,,,,OR4A47,2D5
,,,,,,,,,OR4A47,2E11
,,,,,,,,,OR4A47,2F5
,,,,,,,,,OR4A47,2F11
,,,,,,,,,OR4A47,2G5
,,,,,,,,,OR4A47,2G11
,,,,,,,,,OR4A47,2H5
,,,,,,,,,OR4A47,2H11
,,,,,,,,,OR4A47,3B5
,,,,,,,,,OR4A47,1A6
,,,,,,,,,OR4A47,1B12
,,,,,,,,,OR4A47,1G6
,,,,,,,,,OR4A47,2B12
,,,,,,,,,OR4A47,2E6
,,,,,,,,,OR4A47,1A7
,,,,,,,,,OR4A47,1B1
,,,,,,,,,OR4A47,1B7
,,,,,,,,,OR4A47,1H1
,,,,,,,,,OR4A47,2B1
,,,,,,,,,OR4A47,2B7
,,,,,,,,,OR4A47,2C1
,,,,,,,,,OR4A47,2C7
,,,,,,,,,OR4A47,2E1
,,,,,,,,,OR4A47,2G1
,,,,,,,,,OR4A47,2H1
,,,,,,,,,OR4A47,3B1
,,,,,,,,,OR4A47,1A8
,,,,,,,,,OR4A47,1B2
,,,,,,,,,OR4A47,1B8
,,,,,,,,,OR4A47,1C2
,,,,,,,,,OR4A47,1D8
,,,,,,,,,OR4A47,1G2
,,,,,,,,,OR4A47,1H8
,,,,,,,,,OR4A47,2A2
,,,,,,,,,OR4A47,2A8
,,,,,,,,,OR4A47,2B2
,,,,,,,,,OR4A47,2C2
,,,,,,,,,OR4A47,2C8
,,,,,,,,,OR4A47,2D2
,,,,,,,,,OR4A47,2D8
,,,,,,,,,OR4A47,2E8
,,,,,,,,,OR4A47,2F2
,,,,,,,,,OR4A47,3A2
,,,,,,,,,OR4A47,3A8
,,,,,,,,,OR4A47,3B8
,,,,,,,,,OR4A47,1E3
,,,,,,,,,OR4A47,1E9
,,,,,,,,,OR4A47,1F3
,,,,,,,,,OR4A47,1F9
,,,,,,,,,OR4A47,2D9
,,,,,,,,,OR4A47,3A9
,,,,,,,,,OR4A47,1A4
,,,,,,,,,OR4A47,1C4
,,,,,,,,,OR4A47,1D4
,,,,,,,,,OR4A47,1E4
,,,,,,,,,OR4A47,1F4
,,,,,,,,,OR4A47,1F10
,,,,,,,,,OR4A47,1G4
,,,,,,,,,OR4A47,1H4
,,,,,,,,,OR4A47,1H10
,,,,,,,,,OR4A47,2A4
,,,,,,,,,OR4A47,2F4
,,,,,,,,,OR4A47,1A11
,,,,,,,,,OR4A47,1B5
,,,,,,,,,OR4A47,1C11
,,,,,,,,,OR4A47,1D5
,,,,,,,,,OR4A47,1D11
,,,,,,,,,OR4A47,1E11
,,,,,,,,,OR4A47,1F5
,,,,,,,,,OR4A47,2A5
,,,,,,,,,OR4A47,2C5
,,,,,,,,,OR4A47,2D11
,,,,,,,,,OR4A47,3A5
,,,,,,,,,OR4A47,3A11
,,,,,,,,,OR4A47,3B11
,,,,,,,,,OR4A47,1A12
,,,,,,,,,OR4A47,1B6
,,,,,,,,,OR4A47,1D6
,,,,,,,,,OR4A47,1G12
,,,,,,,,,OR4A47,1H6
,,,,,,,,,OR4A47,1H12
,,,,,,,,,OR4A47,2A12
,,,,,,,,,OR4A47,2B6
,,,,,,,,,OR4A47,2C6
,,,,,,,,,OR4A47,2C12
,,,,,,,,,OR4A47,2D6
,,,,,,,,,OR4A47,2D12
,,,,,,,,,OR4A47,2E12
,,,,,,,,,OR4A47,2F6
,,,,,,,,,OR4A47,2G6
,,,,,,,,,OR4A47,2H6
,,,,,,,,,OR4A47,2H12
,,,,,,,,,OR4A47,3B6
,,,,,,,,,OR4A47,1A1
,,,,,,,,,OR4A47,1D1
,,,,,,,,,OR4A47,2D1
,,,,,,,,,OR4A47,2D7
,,,,,,,,,OR4A47,2F1
,,,,,,,,,OR4A47,2F7
,,,,,,,,,OR4A47,2H7
,,,,,,,,,OR4A47,3A1
,,,,,,,,,OR4A47,1C8
,,,,,,,,,OR4A47,1E2
,,,,,,,,,OR4A47,1E8
,,,,,,,,,OR4A47,1F2
,,,,,,,,,OR4A47,1F8
,,,,,,,,,OR4A47,3B9
,,,,,,,,,OR4A47,1C10
,,,,,,,,,OR4A47,1D10
,,,,,,,,,OR4A47,1G10
,,,,,,,,,OR4A47,2A10
,,,,,,,,,OR4A47,2E10
,,,,,,,,,OR4A47,1C5
,,,,,,,,,OR4A47,1E5
,,,,,,,,,OR4A47,1F11
,,,,,,,,,OR4A47,1C6
,,,,,,,,,OR4A47,1C12
,,,,,,,,,OR4A47,1D12
,,,,,,,,,OR4A47,1E12
,,,,,,,,,OR4A47,1F6
,,,,,,,,,OR4A47,2A6
,,,,,,,,,OR4A47,2F12
,,,,,,,,,OR4A47,3A6
,,,,,,,,,OR4A47,1D7
,,,,,,,,,OR4A47,1E1
,,,,,,,,,OR4A47,1F1
,,,,,,,,,OR4A47,1G7
,,,,,,,,,OR4A47,2E7
,,,,,,,,,OR4A47,2G7
,,,,,,,,,OR4A47,3A7
,,,,,,,,,OR4A47,1E6
,,,,,,,,,OR4A47,1F12
,,,,,,,,,OR4A47,2G12
,,,,,,,,,OR4A47,3A12
,,,,,,,,,OR4A47,1C7
,,,,,,,,,OR4A47,1E7
,,,,,,,,,OR4A47,1F7
,,,,,,,,,OR4A47,1G1
,,,,,,,,,OR4A47,1H7
,,,,,,,,,OR4A47,2A1
,,,,,,,,,OR4A47,2A7
,,,,,,,,,OR4A47,3B12
,,,,,,,,,OR4A47,1C1
,,,,,,,,,OR4A47,3B7
,,,,,,,,,OR4A5,1F3
,,,,,,,,,OR4A5,1E9
,,,,,,,,,OR4A5,1F1
,,,,,,,,,OR4A5,1F2
,,,,,,,,,OR4A5,1E8
,,,,,,,,,OR4A5,1E7
,,,,,,,,,OR4C12,6A2
,,,,,,,,,OR4C12,6B8
,,,,,,,,,OR4C12,6C2
,,,,,,,,,OR4C12,6D2
,,,,,,,,,OR4C12,6E2
,,,,,,,,,OR4C12,7H2
,,,,,,,,,OR4C12,6A3
,,,,,,,,,OR4C12,6B3
,,,,,,,,,OR4C12,6B9
,,,,,,,,,OR4C12,6C3
,,,,,,,,,OR4C12,6D3
,,,,,,,,,OR4C12,6E3
,,,,,,,,,OR4C12,3E3
,,,,,,,,,OR4C12,6A4
,,,,,,,,,OR4C12,6D4
,,,,,,,,,OR4C12,6A5
,,,,,,,,,OR4C12,6B5
,,,,,,,,,OR4C12,6B11
,,,,,,,,,OR4C12,6C5
,,,,,,,,,OR4C12,6D5
,,,,,,,,,OR4C12,6E5
,,,,,,,,,OR4C12,6E11
,,,,,,,,,OR4C12,6F11
,,,,,,,,,OR4C12,7H5
,,,,,,,,,OR4C12,3E5
,,,,,,,,,OR4C12,3E11
,,,,,,,,,OR4C12,6A6
,,,,,,,,,OR4C12,6D6
,,,,,,,,,OR4C12,6F12
,,,,,,,,,OR4C12,7H6
,,,,,,,,,OR4C12,6B2
,,,,,,,,,OR4C12,6F8
,,,,,,,,,OR4C12,3F8
,,,,,,,,,OR4C12,6C9
,,,,,,,,,OR4C12,6F3
,,,,,,,,,OR4C12,7H3
,,,,,,,,,OR4C12,3E9
,,,,,,,,,OR4C12,6C10
,,,,,,,,,OR4C12,7H4
,,,,,,,,,OR4C12,3E4
,,,,,,,,,OR4C12,6C11
,,,,,,,,,OR4C12,6F5
,,,,,,,,,OR4C12,3F5
,,,,,,,,,OR4C12,3F11
,,,,,,,,,OR4C12,6B6
,,,,,,,,,OR4C12,6B12
,,,,,,,,,OR4C12,6C6
,,,,,,,,,OR4C12,6C12
,,,,,,,,,OR4C12,6E6
,,,,,,,,,OR4C12,6E12
,,,,,,,,,OR4C12,3E12
,,,,,,,,,OR4C12,3F12
,,,,,,,,,OR4C12,6E8
,,,,,,,,,OR4C12,3E2
,,,,,,,,,OR4C12,3E8
,,,,,,,,,OR4C12,6E9
,,,,,,,,,OR4C12,6F9
,,,,,,,,,OR4C12,6C4
,,,,,,,,,OR4C12,6E4
,,,,,,,,,OR4C12,6F10
,,,,,,,,,OR4C12,3E10
,,,,,,,,,OR4C12,6F6
,,,,,,,,,OR4C12,3E6
,,,,,,,,,OR4C12,6C8
,,,,,,,,,OR4C12,6B10
,,,,,,,,,OR4C12,3F4
,,,,,,,,,OR4C12,3F10
,,,,,,,,,OR4C12,3F6
,,,,,,,,,OR4C12,6F2
,,,,,,,,,OR4C12,3F3
,,,,,,,,,OR4C12,6E10
,,,,,,,,,OR4C12,6B4
,,,,,,,,,OR4C12,6F4
,,,,,,,,,OR4C12,3F2
,,,,,,,,,OR4C12,3F9
,,,,,,,,,OR4K1,5C10
,,,,,,,,,OR4K1,5C12
,,,,,,,,,OR4K1,5C4
,,,,,,,,,OR4K1,5C6
,,,,,,,,,OR4M1,3A4
,,,,,,,,,OR4M1,2H4
,,,,,,,,,OR4P4,1A1
,,,,,,,,,OR4P4,1A3
,,,,,,,,,OR4P4,1C3
,,,,,,,,,OR4P4,1C9
,,,,,,,,,OR4P4,1A4
,,,,,,,,,OR4P4,1C4
,,,,,,,,,OR4P4,1C10
,,,,,,,,,OR4P4,1A6
,,,,,,,,,OR4P4,1C6
,,,,,,,,,OR4P4,1C12
,,,,,,,,,OR4P4,1C1
,,,,,,,,,OR4P4,1C7
,,,,,,,,,OR4X1,7G7
,,,,,,,,,OR4X1,7F8
,,,,,,,,,OR4X1,7G2
,,,,,,,,,OR4X1,7G8
,,,,,,,,,OR4X1,7G12
,,,,,,,,,OR4X1,7F12
,,,,,,,,,OR4X1,7G6
,,,,,,,,,OR4X1,7F7
,,,,,,,,,OR4X1,7G1
,,,,,,,,,OR51F1,7D11
,,,,,,,,,OR51L1,1D10
,,,,,,,,,OR51L1,1G4
,,,,,,,,,OR51L1,1G10
,,,,,,,,,OR51L1,2E4
,,,,,,,,,OR51L1,2E10
,,,,,,,,,OR51L1,1D1
,,,,,,,,,OR51L1,1D7
,,,,,,,,,OR51L1,1G7
,,,,,,,,,OR51L1,2E1
,,,,,,,,,OR51L1,2E7
,,,,,,,,,OR51L1,1D4
,,,,,,,,,OR51L1,1G1
,,,,,,,,,OR51Q1,3E3
,,,,,,,,,OR51Q1,1G3
,,,,,,,,,OR51Q1,2E2
,,,,,,,,,OR51Q1,1A3
,,,,,,,,,OR51Q1,1B9
,,,,,,,,,OR51Q1,1D3
,,,,,,,,,OR51Q1,2B3
,,,,,,,,,OR51Q1,2E3
,,,,,,,,,OR51Q1,2B4
,,,,,,,,,OR51Q1,2H4
,,,,,,,,,OR51Q1,2E5
,,,,,,,,,OR51Q1,1A2
,,,,,,,,,OR51Q1,1D2
,,,,,,,,,OR51Q1,2H2
,,,,,,,,,OR51Q1,1A9
,,,,,,,,,OR51Q1,1B3
,,,,,,,,,OR51Q1,1H9
,,,,,,,,,OR51Q1,2C9
,,,,,,,,,OR51Q1,2D3
,,,,,,,,,OR51Q1,2E9
,,,,,,,,,OR51Q1,2F3
,,,,,,,,,OR51Q1,2G3
,,,,,,,,,OR51Q1,2H3
,,,,,,,,,OR51Q1,3B3
,,,,,,,,,OR51Q1,2C10
,,,,,,,,,OR51Q1,2E4
,,,,,,,,,OR51Q1,1A5
,,,,,,,,,OR51Q1,1G5
,,,,,,,,,OR51Q1,1H11
,,,,,,,,,OR51Q1,2B5
,,,,,,,,,OR51Q1,2H5
,,,,,,,,,OR51Q1,1A6
,,,,,,,,,OR51Q1,1G6
,,,,,,,,,OR51Q1,2E6
,,,,,,,,,OR51Q1,2B1
,,,,,,,,,OR51Q1,2E1
,,,,,,,,,OR51Q1,2H1
,,,,,,,,,OR51Q1,1G2
,,,,,,,,,OR51Q1,1G8
,,,,,,,,,OR51Q1,1H2
,,,,,,,,,OR51Q1,2B2
,,,,,,,,,OR51Q1,2B8
,,,,,,,,,OR51Q1,2F8
,,,,,,,,,OR51Q1,2G2
,,,,,,,,,OR51Q1,2G8
,,,,,,,,,OR51Q1,2H8
,,,,,,,,,OR51Q1,3B2
,,,,,,,,,OR51Q1,1C3
,,,,,,,,,OR51Q1,1C9
,,,,,,,,,OR51Q1,1D9
,,,,,,,,,OR51Q1,1G9
,,,,,,,,,OR51Q1,1H3
,,,,,,,,,OR51Q1,2A3
,,,,,,,,,OR51Q1,2A9
,,,,,,,,,OR51Q1,2B9
,,,,,,,,,OR51Q1,2C3
,,,,,,,,,OR51Q1,2F9
,,,,,,,,,OR51Q1,2G9
,,,,,,,,,OR51Q1,2H9
,,,,,,,,,OR51Q1,3A3
,,,,,,,,,OR51Q1,1A4
,,,,,,,,,OR51Q1,1A10
,,,,,,,,,OR51Q1,1B4
,,,,,,,,,OR51Q1,1B10
,,,,,,,,,OR51Q1,1D4
,,,,,,,,,OR51Q1,1E10
,,,,,,,,,OR51Q1,1G4
,,,,,,,,,OR51Q1,2B10
,,,,,,,,,OR51Q1,2C4
,,,,,,,,,OR51Q1,2D4
,,,,,,,,,OR51Q1,2D10
,,,,,,,,,OR51Q1,2F10
,,,,,,,,,OR51Q1,2G4
,,,,,,,,,OR51Q1,2G10
,,,,,,,,,OR51Q1,2H10
,,,,,,,,,OR51Q1,3A4
,,,,,,,,,OR51Q1,3A10
,,,,,,,,,OR51Q1,3B4
,,,,,,,,,OR51Q1,3B10
,,,,,,,,,OR51Q1,1B11
,,,,,,,,,OR51Q1,1D5
,,,,,,,,,OR51Q1,1G11
,,,,,,,,,OR51Q1,1H5
,,,,,,,,,OR51Q1,2A11
,,,,,,,,,OR51Q1,2B11
,,,,,,,,,OR51Q1,2C11
,,,,,,,,,OR51Q1,2D5
,,,,,,,,,OR51Q1,2E11
,,,,,,,,,OR51Q1,2F5
,,,,,,,,,OR51Q1,2F11
,,,,,,,,,OR51Q1,2G5
,,,,,,,,,OR51Q1,2G11
,,,,,,,,,OR51Q1,2H11
,,,,,,,,,OR51Q1,3B5
,,,,,,,,,OR51Q1,1B12
,,,,,,,,,OR51Q1,1D6
,,,,,,,,,OR51Q1,2B6
,,,,,,,,,OR51Q1,2B12
,,,,,,,,,OR51Q1,2H6
,,,,,,,,,OR51Q1,1A1
,,,,,,,,,OR51Q1,1A7
,,,,,,,,,OR51Q1,1B1
,,,,,,,,,OR51Q1,1B7
,,,,,,,,,OR51Q1,1D1
,,,,,,,,,OR51Q1,1H1
,,,,,,,,,OR51Q1,2B7
,,,,,,,,,OR51Q1,2C1
,,,,,,,,,OR51Q1,2C7
,,,,,,,,,OR51Q1,2G1
,,,,,,,,,OR51Q1,3B1
,,,,,,,,,OR51Q1,1A8
,,,,,,,,,OR51Q1,1B2
,,,,,,,,,OR51Q1,1B8
,,,,,,,,,OR51Q1,1C2
,,,,,,,,,OR51Q1,1D8
,,,,,,,,,OR51Q1,1H8
,,,,,,,,,OR51Q1,2A2
,,,,,,,,,OR51Q1,2A8
,,,,,,,,,OR51Q1,2C2
,,,,,,,,,OR51Q1,2C8
,,,,,,,,,OR51Q1,2D2
,,,,,,,,,OR51Q1,2D8
,,,,,,,,,OR51Q1,2E8
,,,,,,,,,OR51Q1,2F2
,,,,,,,,,OR51Q1,3A2
,,,,,,,,,OR51Q1,3A8
,,,,,,,,,OR51Q1,3B8
,,,,,,,,,OR51Q1,1E3
,,,,,,,,,OR51Q1,1E9
,,,,,,,,,OR51Q1,1F3
,,,,,,,,,OR51Q1,1F9
,,,,,,,,,OR51Q1,2D9
,,,,,,,,,OR51Q1,3A9
,,,,,,,,,OR51Q1,1C4
,,,,,,,,,OR51Q1,1E4
,,,,,,,,,OR51Q1,1F4
,,,,,,,,,OR51Q1,1F10
,,,,,,,,,OR51Q1,1H4
,,,,,,,,,OR51Q1,1H10
,,,,,,,,,OR51Q1,2A4
,,,,,,,,,OR51Q1,2F4
,,,,,,,,,OR51Q1,1A11
,,,,,,,,,OR51Q1,1B5
,,,,,,,,,OR51Q1,1C11
,,,,,,,,,OR51Q1,1D11
,,,,,,,,,OR51Q1,1E11
,,,,,,,,,OR51Q1,1F5
,,,,,,,,,OR51Q1,2A5
,,,,,,,,,OR51Q1,2C5
,,,,,,,,,OR51Q1,2D11
,,,,,,,,,OR51Q1,3A5
,,,,,,,,,OR51Q1,3A11
,,,,,,,,,OR51Q1,3B11
,,,,,,,,,OR51Q1,1A12
,,,,,,,,,OR51Q1,1B6
,,,,,,,,,OR51Q1,1G12
,,,,,,,,,OR51Q1,1H6
,,,,,,,,,OR51Q1,1H12
,,,,,,,,,OR51Q1,2A12
,,,,,,,,,OR51Q1,2C6
,,,,,,,,,OR51Q1,2C12
,,,,,,,,,OR51Q1,2D6
,,,,,,,,,OR51Q1,2D12
,,,,,,,,,OR51Q1,2E12
,,,,,,,,,OR51Q1,2F6
,,,,,,,,,OR51Q1,2G6
,,,,,,,,,OR51Q1,2H12
,,,,,,,,,OR51Q1,3B6
,,,,,,,,,OR51Q1,2D1
,,,,,,,,,OR51Q1,2D7
,,,,,,,,,OR51Q1,2F1
,,,,,,,,,OR51Q1,2F7
,,,,,,,,,OR51Q1,2H7
,,,,,,,,,OR51Q1,3A1
,,,,,,,,,OR51Q1,1C8
,,,,,,,,,OR51Q1,1E2
,,,,,,,,,OR51Q1,1E8
,,,,,,,,,OR51Q1,1F2
,,,,,,,,,OR51Q1,1F8
,,,,,,,,,OR51Q1,3B9
,,,,,,,,,OR51Q1,1C10
,,,,,,,,,OR51Q1,1D10
,,,,,,,,,OR51Q1,1G10
,,,,,,,,,OR51Q1,2A10
,,,,,,,,,OR51Q1,2E10
,,,,,,,,,OR51Q1,1C5
,,,,,,,,,OR51Q1,1E5
,,,,,,,,,OR51Q1,1F11
,,,,,,,,,OR51Q1,1C6
,,,,,,,,,OR51Q1,1C12
,,,,,,,,,OR51Q1,1D12
,,,,,,,,,OR51Q1,1E12
,,,,,,,,,OR51Q1,1F6
,,,,,,,,,OR51Q1,2A6
,,,,,,,,,OR51Q1,2F12
,,,,,,,,,OR51Q1,3A6
,,,,,,,,,OR51Q1,1D7
,,,,,,,,,OR51Q1,1E1
,,,,,,,,,OR51Q1,1F1
,,,,,,,,,OR51Q1,1G1
,,,,,,,,,OR51Q1,1G7
,,,,,,,,,OR51Q1,2E7
,,,,,,,,,OR51Q1,2G7
,,,,,,,,,OR51Q1,3A7
,,,,,,,,,OR51Q1,1E6
,,,,,,,,,OR51Q1,1F12
,,,,,,,,,OR51Q1,2G12
,,,,,,,,,OR51Q1,3A12
,,,,,,,,,OR51Q1,1C7
,,,,,,,,,OR51Q1,1E7
,,,,,,,,,OR51Q1,1F7
,,,,,,,,,OR51Q1,1H7
,,,,,,,,,OR51Q1,2A1
,,,,,,,,,OR51Q1,2A7
,,,,,,,,,OR51Q1,3B12
,,,,,,,,,OR51Q1,1C1
,,,,,,,,,OR51Q1,3B7
,,,,,,,,,OR52I2,1A5
,,,,,,,,,OR52I2,1G5
,,,,,,,,,OR52I2,2A5
,,,,,,,,,OR52I2,1A1
,,,,,,,,,OR52I2,1C5
,,,,,,,,,OR52I2,2A1
,,,,,,,,,OR52I2,1C1
,,,,,,,,,OR52I2,1G1
,,,,,,,,,OR52K2,7B11
,,,,,,,,,OR52K2,6G11
,,,,,,,,,OR52M1,2E3
,,,,,,,,,OR52M1,2E9
,,,,,,,,,OR52M1,2F3
,,,,,,,,,OR52M1,2E5
,,,,,,,,,OR52M1,2E2
,,,,,,,,,OR52M1,2B3
,,,,,,,,,OR52M1,2E4
,,,,,,,,,OR52M1,2B11
,,,,,,,,,OR52M1,2E11
,,,,,,,,,OR52M1,2H11
,,,,,,,,,OR52M1,2B12
,,,,,,,,,OR52M1,2E6
,,,,,,,,,OR52M1,2B9
,,,,,,,,,OR52M1,2C3
,,,,,,,,,OR52M1,2H3
,,,,,,,,,OR52M1,2H9
,,,,,,,,,OR52M1,3A3
,,,,,,,,,OR52M1,2B4
,,,,,,,,,OR52M1,2H4
,,,,,,,,,OR52M1,2B5
,,,,,,,,,OR52M1,2F5
,,,,,,,,,OR52M1,2H5
,,,,,,,,,OR52M1,2B6
,,,,,,,,,OR52M1,2C6
,,,,,,,,,OR52M1,2E12
,,,,,,,,,OR52M1,2F6
,,,,,,,,,OR52M1,2H6
,,,,,,,,,OR52M1,2H12
,,,,,,,,,OR52M1,2B8
,,,,,,,,,OR52M1,2E8
,,,,,,,,,OR52M1,2F2
,,,,,,,,,OR52M1,2H8
,,,,,,,,,OR52M1,2B10
,,,,,,,,,OR52M1,2C4
,,,,,,,,,OR52M1,2F4
